instr_list
Welcome to the experiment! Press the space bar to read through the following instructions.
"During today's task, make sure to be seated an arm's distance away from your laptop or desktop."
Please keep your left index finger resting on the 'A' key and your right index finger resting on the 'L' key.
"Do NOT minimize this screen until finishing the task, or your data may FAIL to be saved and your credit for the study may be affected."
"In each round of this task, you will see four items presented in this order: an image, a word, the same image again, and another word."
The first word may either be a bad or good description of what's happening in the image.
"If the word is a bad description, you should press the 'A' key. "
"If the word is a good description, you should press the 'L' key. "
"The second word may either be a real English word (for example, ""ducking"") or a nonsense word (for example, ""glurcking""). "
"If a word is a real English word, you should press the 'A' key. "
"If a word is a nonsense word, you should press the 'L' key. "
"Make sure to respond to BOTH words, as quickly as you can."
"During the practice, you will see a reminder below each word reminding you to press the 'A' or 'L' key. This reminder will NOT appear during the actual task."
"Now, you will complete several practice rounds. "
Press the space bar to begin the practice.
